conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1944014259207217322,Sat Jul 12 12:41:32 +0000 2025,0,kapan aku kaburajadulu,1944014259207217322,,,in,,0,1,0,https://x.com/undefined/status/1944014259207217322,1504431984734453760,
1943871424277385377,Sat Jul 12 12:26:23 +0000 2025,0,@cottagecorre @TVa0216 @montufaha Raw aja pakai vpn kaburajadulu ga kenal indoneseh,1944010446433894642,,cottagecorre,in,,0,0,0,https://x.com/undefined/status/1944010446433894642,991584646893748226,
1943998267144253459,Sat Jul 12 11:37:59 +0000 2025,0,Orang-orang yang pada ngenyekin #KaburAjaDulu itu karena bidangnya ga se-lucrative/dinamis/banyak tawaran seperti anak Tech/Finance aja dari luar. Finance gw bisa bilang dinamis karena mba gw juga dapet offer dari headhunter di Qatar dan Dubai. Maklum jebolan uni Swedia sih..,1943998267144253459,,,in,,0,1,0,https://x.com/undefined/status/1943998267144253459,94275536,
1943976016013091121,Sat Jul 12 10:09:34 +0000 2025,0,makin banyak aja ini warga pragib sudah saatnya # KaburAjaDulu,1943976016013091121,,,in,,0,0,0,https://x.com/undefined/status/1943976016013091121,948533377451245569,
1941015304899121523,Sat Jul 12 09:59:05 +0000 2025,0,Secured for Qatar Airways ️ Flight Jakarta-Doha-Turkiye. Ada yang mau pesan tiket pesawat lebih murah? Bisa langsung DM ya #zonauang #KaburAjaDulu #traveloka https://t.co/18B5zadGyy,1943973378182066553,https://pbs.twimg.com/media/GvphekTa0AAsR88.jpg,diwaytix,in,,0,0,0,https://x.com/undefined/status/1943973378182066553,1887830829080141824,
1943640596905955554,Sat Jul 12 09:47:26 +0000 2025,0,@__AnakKolong @NasbiHasan Dulu rame tagar #KaburAjaDulu pemerintah pada kesel emosi dan sampe dibilang gak nasionalis sekarang cari kerja di Indonesia susah mereka malah menyarankan merantau ke luar negeri kan babik.,1943970446824943644,,__AnakKolong,in,,0,0,0,https://x.com/undefined/status/1943970446824943644,995878157336035330,
1943969210549334296,Sat Jul 12 09:42:31 +0000 2025,0,Sebenarnya mau bantu harga bahan pokok lbh murah ke masyarakat apa bikin masalah baru sih koperasi merah putih ini!? Kek ga tau aja culture ngutang pinjam meminjam d indo itu ujung2nya pigimane!? Aahh sudahlah.... #KaburAjaDulu https://t.co/Xfmo0sIce7,1943969210549334296,https://pbs.twimg.com/media/GvpdsKBXcAAjL15.jpg,,in,,0,0,0,https://x.com/undefined/status/1943969210549334296,1855382871902711809,
1943960265479057581,Sat Jul 12 09:06:58 +0000 2025,0,Enaknya bisa #KaburAjaDulu,1943960265479057581,,,in,,0,0,0,https://x.com/undefined/status/1943960265479057581,3012252895,
1943952339901329691,Sat Jul 12 08:35:29 +0000 2025,0,Deretan Negara Ini Buka Banyak Lowongan Bisa buat #KaburAjaDulu https://t.co/lVjpzFrrrh,1943952339901329691,,,in,,0,0,0,https://x.com/undefined/status/1943952339901329691,135795460,
1943950950391255264,Sat Jul 12 08:29:58 +0000 2025,0,bukannya bersyukur bisa kaburajadulu.... duhilah bener2 dah orang2 modelan gini otaknya ada kaga sih,1943950950391255264,,,in,,0,0,0,https://x.com/undefined/status/1943950950391255264,3223697748,
